City,arab_voter_count
HALF MOON BAY,32
HAMILTON CITY,2
HANFORD,125
HARBOR CITY,280
HAWAIIAN GARDENS,22
HAWTHORNE,908
HAYWARD,2433
HEALDSBURG,16
HELENDALE,6
HELM,1
HEMET,342
HERALD,2
HERCULES,314
HERLONG,3
HERMOSA BEACH,73
HESPERIA,152
HIDDEN HILLS,6
HIDDEN VALLEY LAKE,6
HIGHLAND,357
HILLSBOROUGH,114
HILMAR,5
HINKLEY,1
HOLLISTER,86
HOLLYWOOD,9
HOMELAND,16
HOOPA,1
HOPLAND,1
HORNBROOK,3
HUGHSON,19
HUNTINGTON BEACH,1391
HUNTINGTON PARK,27
HUNTINGTON PK,1
HURON,24
IDYLLWILD,2
IMPERIAL,41
IMPERIAL BEACH,37
INDEPENDENCE,1
INDIAN WELLS,8
INDIO,168
INGLEWOOD,562
INYOKERN,3
IRVINE,8164
IRWINDALE,1
IVANHOE,5
JACKSON,4
JAMUL,138
JANESVILLE,1
JOHANNESBURG,4
JOHNSON VALLEY,1
JOSHUA TREE,9
JULIAN,2
JUNCTION CITY,1
JURUPA VALLEY,297
KEENE,1
KELSEYVILLE,7
KENSINGTON,33
KENTFIELD,8
KENWOOD,1
KERMAN,61
KERNVILLE,2
KETTLEMAN CITY,1
KEYES,14
KING CITY,25
KINGS BEACH,1
KINGSBURG,20
KNIGHTS LANDING,1
LA CANADA,1
LA CANADA FLINTRIDGE,210
LA CANADA FLT,1
LA CRESCENTA,125
LA GRANGE,4
LA HABRA,280
LA HABRA HEIGHTS,33
LA HONDA,1
LA JOLLA,434
LA MESA,755
LA MIRADA,224
LA PALMA,245
LA PUENTE,81
LA QUINTA,103
LA TUNA CANYON,9
LA VERNE,356
LADERA RANCH,260
LAFAYETTE,220
LAGUNA BEACH,184
LAGUNA HILLS,614
LAGUNA NIGUEL,1299
LAGUNA WOODS,228
LAGUNITAS,3
LAKE ARROWHEAD,8
LAKE BALBOA,1
LAKE ELSINORE,420
LAKE FOREST,917
LAKE HUGHES,2
LAKE ISABELLA,6
LAKE SHERWOOD,9
LAKE VIEW TERRACE,2
LAKEHEAD,2
LAKEPORT,10
LAKESIDE,391
LAKEWOOD,287
LAMONT,19
LANCASTER,624
LANDERS,2
LARKSPUR,21
LATHROP,433
LATON,1
LAWNDALE,412
LAYTONVILLE,1
LE GRAND,1
LEBEC,1
LEE VINING,1
LEMON GROVE,209
LEMOORE,27
LENNOX,2
LEONA VALLEY,2
LEWISTON,1
LINCOLN,287
LINDEN,4
LINDSAY,30
LITTLEROCK,5
LIVE OAK,178
LIVERMORE,781
LIVINGSTON,46
LLANO,4
LOCKEFORD,8
LODI,1529
LOLETA,1
LOMA LINDA,253
LOMITA,301
LOMPOC,61
LONE PINE,1
LONG BEACH,1531
LOOMIS,32
LOS ALAMITOS,109
LOS ALAMOS,3
LOS ALTOS,388
LOS ALTOS HILLS,117
LOS ANGELES,11285
LOS BANOS,56
LOS FELIZ,3
LOS GATOS,443
LOS MOLINOS,1
LOS OSOS,18
LOST HILLS,1
LOWER LAKE,2
LUCERNE,4
LYNWOOD,23
MADERA,279
MAGALIA,2
MALIBU,111
MAMMOTH LAKES,4
MANHATTAN BEACH,171
MANTECA,669
MARE ISLAND,4
MARIN CITY,80
MARINA,272
MARINA DEL REY,237
MARINA DL REY,1
MARIPOSA,3
MARTINEZ,273
MARYSVILLE,88
MATHER,40
MAYWOOD,11
MC CLELLAN,2
MC FARLAND,18
MCKINLEYVILLE,16
MEADOW VISTA,7
MENDOCINO,1
MENDOTA,40
MENIFEE,472
MENLO PARK,375
MENTONE,55
MERCED,367
MIDDLETOWN,3
MIDWAY CITY,31
MILL VALLEY,171
MILLBRAE,342
MILPITAS,923
MIRAMONTE,1
MISSION HILLS,101
MISSION VIEJO,1908
MIWUK VILLAGE,1
MODESTO,1439
MOJAVE,10
MONROVIA,142
MONTAGUE,3
MONTCLAIR,158
MONTE RIO,1
MONTE SERENO,42
MONTEBELLO,96
MONTEREY,262
MONTEREY PARK,137
MONTROSE,49
MOORPARK,366
MORAGA,148
MORENO VALLEY,1278
MORGAN HILL,354
MORONGO VALLEY,2
MORRO BAY,13
MOSS BEACH,5
MOSS LANDING,1
MOUNTAIN HOUSE,835
MOUNTAIN RANCH,6
MOUNTAIN VIEW,617
MT SHASTA,4
MURPHYS,1
MURRIETA,1050
N HOLLYWOOD,16
N HOLYWOOD,1
NAPA,172
NAS LEMOORE,5
NATIONAL CITY,96
NEEDLES,1
NEVADA CITY,17
NEWARK,809
NEWBERRY SPRINGS,6
NEWBURY PARK,342
NEWCASTLE,9
NEWHALL,181
NEWMAN,31
NEWPORT BEACH,460
NEWPORT COAST,317
NICASIO,2
NICE,5
NILAND,1
NIPOMO,23
NORCO,101
NORTH HIGHLANDS,98
NORTH HILLS,516
NORTH HOLLYWOOD,799
NORTHRIDGE,1804
NORWALK,306
NOVATO,272
NUEVO,15
OAK HILLS,46
OAK PARK,87
OAK VIEW,3
OAKDALE,38
OAKHURST,7
OAKLAND,4292
OAKLEY,304
OCCIDENTAL,1
OCEANO,3
OCEANSIDE,456
OJAI,34
OLANCHA,2
OLIVEHURST,34
OLYMPIC VALLEY,2
ONTARIO,604
ORANGE,1149
ORANGE COVE,22
ORANGEVALE,101
OREGON HOUSE,2
ORINDA,177
ORLAND,14
OROSI,9
OROVILLE,27
OXNARD,248
PACHECO,19
PACIFIC GROVE,110
PACIFIC HOUSE,2
PACIFIC PALISADES,158
PACIFICA,183
PACOIMA,58
PAICINES,2
PALERMO,1
PALM DESERT,162
PALM SPRINGS,143
PALMDALE,671
PALO ALTO,647
PALO CEDRO,1
PALOS VERDES ESTATES,104
PALOS VERDES PEN,31
PANORAMA CITY,319
PARADISE,4
PARAMOUNT,82
PARLIER,8
PASADENA,843
PASO ROBLES,77
PATTERSON,175
PATTON,1
PAUMA VALLEY,2
PAYNES CREEK,1
PEBBLE BEACH,26
PENN VALLEY,3
PENNGROVE,16
PENRYN,3
PERRIS,275
PESCADERO,1
PETALUMA,221
PETROLIA,1
PHELAN,15
PICO RIVERA,51
PIEDMONT,67
PILOT HILL,2
PINE MOUNTAIN CLUB,3
PINOLE,217
PINON HILLS,5
PIONEER,3
PISMO BEACH,37
PITTSBURG,609
PIXLEY,5
PLACENTIA,499
PLACERVILLE,18
PLANADA,8
PLAYA DEL REY,113
PLAYA VISTA,45
PLEASANT GROVE,6
PLEASANT HILL,370
PLEASANTON,1131
PLUMAS LAKE,75
POINT ARENA,1
POINT REYES STATION,1
POLLOCK PINES,3
POMONA,594
PORT HUENEME,25
PORTER RANCH,95
PORTERVILLE,185
PORTOLA,2
PORTOLA VALLEY,32
POWAY,344
PRATHER,2
PRINCETON,1
PROBERTA,1
QUARTZ HILL,6
QUINCY,2
RAMONA,64
RANCHO CORDOVA,638
RANCHO CUCAMONGA,2649
RANCHO DOMINGUEZ,2
RANCHO MIRAGE,86
RANCHO MISSION VIEJO,115
RANCHO MURIETA,4
RANCHO PALOS VERDES,660
RANCHO SANTA FE,126
RANCHO SANTA MARGARITA,594
RAVENDALE,1
RED BLUFF,11
RED MOUNTAIN,1
REDDING,102
REDLANDS,612
REDONDO BEACH,664
REDWOOD CITY,618
REDWOOD VALLEY,1
REEDLEY,78
RESCUE,10
RESEDA,966
RIALTO,258
RICHGROVE,8
RICHMOND,1158
RIDGECREST,87
RIO DELL,1
RIO LINDA,31
RIO VISTA,25
RIPON,60
RIVERBANK,91
RIVERDALE,40
RIVERSIDE,2581
RLLNG HLS EST,1
RNCHO PLS VRD,1
ROBBINS,7
ROCKLIN,513
RODEO,78
ROHNERT PARK,190
ROLLING HILLS,14
ROLLING HILLS EST,107
ROLLING HILLS ESTATES,1
